First Name,LastName,Gender,DateOfBirth,Home Street,Home PostCode,Home Country,Work Street,Work PostCode,Work Country,Home Phone,Work Phone
Kit,Guyoorse,M,310348800000,108 Upper Avenue,DE99 3GG,IND,127 Close Nightingale,NG80 1LH,AUS,'+93-932488555','+79-948105555'
Rita,Qaazeajenz,F,-60134400000,92 Bromwood Lower,DH98 1BT,AUS,198 Lower Tower,E20 2BB,AUS,'+74-988211777','+87-542163666'
Dave,Juozeceoj,M,-227149200000,181 Avenue High,E20 2BB,GB,170 Grace Nightingale,SW1P 3EU,USA,'+62-289220777','+9-447671444'
Samuel,Miop,M,-4842000000,10 Grace Rover,LS98 1FD,CHI,0 Tower Grace,W1D 4FA,CHI,'+75-553967888','+40-602112777'
Ed,Yoino,M,193795200000,39 Union Hill,W1N 4DJ,USA,177 Union Tower,S2 4SU,USA,'+17-692071666','+86-935051222'
Hoshi,Cefie,M,423270000000,0 Spring High,E20 3HB,AUS,117 Hill Tower,E20 2ST,USA,'+9-803796555','+78-728973111'
Jason,Ovoijiawzo,M,-375062400000,193 Avenue Bristol,NG80 1TH,IND,75 Church Bristol,E20 3HB,IND,'+26-612988999','+8-580666444'
Toby,Woacwazc,M,-412473600000,2 Bristol Tower,GIR 0AA,CHI,107 High Bromwood,BX3 2BB,USA,'+96-709218000','+11-991779999'
Victoria,Fizxiteehj,F,397004400000,5 Grace Spring,E20 2AQ,GB,84 Church Rover,E98 1ST,GB,'+14-422531000','+67-110872222'
Julia,Waxp,F,-141094800000,170 London Bristol,EC4Y 0HQ,USA,18 Rover Avenue,E20 3HY,GB,'+4-499746888','+70-205172666'
Rita,Ufxee,F,-438825600000,163 Upper Avenue,E20 3HY,IND,152 Spring Spring,GIR 0AA,AUS,'+70-735198444','+80-603098555'
Arif,Favtam,M,-273286800000,150 Bristol High,E20 3ET,IND,71 Avenue Church,E20 3EL,USA,'+74-195793888','+67-452230555'
Kiran,Haubnip,M,-97459200000,154 Lower Spring,E98 1TT,AUS,21 Grace Nightingale,NG80 1RH,AUS,'+56-986703777','+5-471371111'
Martha,Masgasimi,F,-19962000000,153 Tower Rover,NG80 1RH,CHI,176 High Bristol,N81 1ER,IND,'+81-191141333','+96-919337555'
Ed,Nutnauh,M,404438400000,110 Hill Tower,SW1W 0DT,AUS,12 London Nightingale,BX5 5AT,CHI,'+95-252182222','+41-999162000'
Rita,Saogj,F,192240000000,198 Union Tower,NG80 1RH,GB,62 Tower Grace,LS98 1FD,CHI,'+7-478320444','+39-231521666'
Grace,Ceohidkat,F,-325213200000,44 Bristol Bristol,DH99 1NS,IND,84 Hill Nightingale,E98 1SN,CHI,'+36-664723666','+73-692369888'
Kit,Keaste,M,-378172800000,18 Rover Upper,E98 1ST,GB,92 Bromwood Lower,EC4Y 0HQ,USA,'+23-873741111','+22-553062222'
Lisa,Yoomuxlia,F,-312768000000,167 Spring Nightingale,W1A 1AA,CHI,27 Grace Upper,E98 1SN,GB,'+85-215748000','+48-116613777'
Victoria,Husxeiffud,F,-154224000000,106 Bristol Rover,LS98 1FD,GB,141 Grace Upper,E20 3ET,CHI,'+34-855392111','+75-489061888'
Victoria,Xagoiv,F,-422067600000,87 Nightingale Rover,E20 3ET,CHI,117 Nightingale Rover,CF10 1BH,CHI,'+22-232102777','+67-936167888'
Ray,Tiaj,M,-129254400000,61 Church Rover,SW1A 0AA,IND,14 Lower Church,W1N 4DJ,AUS,'+55-821561333','+87-784424222'
Arif,Itoutse,M,19004400000,116 Bromwood Hill,N81 1ER,USA,74 Lower High,SW1A 0PW,AUS,'+10-613375555','+51-247750000'
Lisa,Woiybo,F,-203994000000,148 Avenue Avenue,IV21 2LR,USA,18 Lower Spring,SW1A 2AA,GB,'+73-365512777','+58-365763222'
Gabs,Joivoh,M,384220800000,96 High London,EC2N 2DB,AUS,122 High Bristol,E98 1TT,GB,'+91-348333333','+46-384174777'
Ray,Onip,M,-429930000000,13 London Church,IV21 2LR,GB,128 Hill High,E20 3ET,GB,'+73-622975777','+0-683045222'
Lisa,Yorif,F,-346809600000,79 High Grace,E98 1ST,IND,29 Bristol Close,BX5 5AT,AUS,'+14-847329333','+1-140116777'
Cameron,Voov,M,75769200000,158 Avenue Tower,N1 9GU,IND,99 Close London,GIR 0AA,CHI,'+32-477103222','+75-964462333'
Ed,Sunaikegi,M,-118544400000,3 Bristol Close,S2 4SU,AUS,103 Grace London,NG80 1EH,GB,'+1-203583000','+81-658338777'
Julia,Peumozofz,F,-393210000000,87 Nightingale Union,E20 3ET,GB,50 Bromwood Avenue,SW1P 3EU,USA,'+79-534440777','+10-392675888'
Hoshi,Loavqejofo,M,135990000000,43 Church Lower,S6 1SW,CHI,6 Close Bristol,SW1W 0DT,GB,'+35-864138222','+92-800130222'
